"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","SEMP MUNDIAL PLATOS REDONDO 7pgX8uds","SEMP MUNDIAL PLATOS REDONDO 7pgX8uds","SEMPERTEX","5693","5693.png","$2.116","80","4","GN ","Genérico"
"UND ","SEMP MUNDIAL SERVILLETAS PEQUEÑO","SEMP MUNDIAL SERVILLETAS PEQ x16uds","SEMPERTEX","5695","5695.png","$1.497","96","4","GN ","Genérico"
"UND ","VELITAS NEON ESPIRALADA","VELITAS NEON ESPIRALADA x 24uds","SEMPERTEX","5697","5697.png","$1.504","62","6","GN ","Genérico"
"UND ","SEMP MUNDIAL BANDEJA COLOMBIA 1u","SEMP MUNDIAL BANDEJA COLOMBIA 40x27cm 1u","SEMPERTEX","5699","5699.png","$2.826","36","2","GN ","Genérico"
"UND ","SEMP MUNDIAL CONFETTI MIXTO BALON 15grm","SEMP MUNDIAL CONFETTI MIXTO BALON 15grm","SEMPERTEX","5706","5706.png","$2.079","0","11","GN ","Genérico"
"UND ","SEMP MUNDIAL VELAS BALONES c/ESTRELL","SEMP MUNDIAL VELAS BALONES c/ESTRELL 6ud","SEMPERTEX","5708","5708.png","$2.418","12","6","GN ","Genérico"
"UND ","SEMP MUNDIAL GORRO INFANTIL BALON 27x16c","SEMP MUNDIAL GORRO INFANTIL BALON 27x16c","SEMPERTEX","5710","5710.png","$1.224","72","4","GN ","Genérico"
"UND ","SEMP INVITAC FELIZ CUMPLEANOS RAYAS","SEMP INVITAC FELIZ CUMPLEANOS RAYAS x8ud","SEMPERTEX","5714","5714.png","$2.715","12","2","GN ","Genérico"
"UND ","LAMPARA CHINA CORAZONES","LAMPARA CHINA CORAZONES 14pgds","SEMPERTEX","5715","5715.png","$3.730","32","2","GN ","Genérico"
"UND ","PLATO 7pgx8uds SEMPERTEX c/LICENCIAS","PLATO 7pgx8uds SEMPERTEX c/LICENCIAS","SEMPERTEX","5722","5722.png","$4.024","8","5","FC DESTx1","Feliz Cumpl Destellos"
"UND ","PLATO 7pgx8uds SEMPERTEX c/LICENCIAS","PLATO 7pgx8uds SEMPERTEX c/LICENCIAS","SEMPERTEX","5722","5722.png","$4.024","8","6","SOLTERAS ","Solteras "
